buff_id,ca_nvc_17,ca_agri_17,pland_urban_17,ca_urban_17,shdi_17,pland_nvc_06,pland_agri_06,ca_nvc_06,ca_agri_06,pland_urban_06,ca_urban_06,shdi_06,code_muni,code_sc,code_uf,total_estab_06,agrifam_06,perc_agrifam_06,area_estab_06,agrifam_area_06,perc_area_agrifam_06,total_estab_17,agrifam_17,perc_agrifam_17,area_estab_17,agrifam_area_17,perc_area_agrifam_17,pop_rural_WP_06,pop_rural_WP_17,pop_urb_mun_06,pop_urb_mun_17,vari_perc_nvc,vari_area_nvc,vari_total_pop_rural,vari_perc_pop_rural,vari_estab_agrifam,vari_perc_estab_agrifam,vari_area_agrifam,vari_perc_area_agrifam,vari_total_pop_urb,vari_perc_pop_urb,cat_change,mun_area_ha,pland_nvc_17
4584,7676.98024112054,138.841150644534,0,0,0.435002773110344,96.341292462969,3.03957758983225,7563.08281106736,238.616033009959,0,0,0.501258737593828,2302107,230210740000002,23,1850,1633,88.2702702702703,25341,11603,45.7874590584428,2045,1668,81.5647921760391,11695,6532,55.8529286019667,3708.4232776165,4147.54413723946,18357.1155892684,20653.8549707726,1.45086678192612,113.897430053178,439.120859622955,11.8411741796958,35,-6.70547809423115,-13646,-15.8782997397446,2296.73938150422,12.5114393398868,GG,31936.6688065908,97.7921592448951
4585,4706.65998393689,2907.86925085057,0,0,1.21419940156962,62.5424896915044,37.0591877022276,4910.0613525826,2909.42823338753,0,0,1.14832583514092,2612208,261220815000003,26,1765,1619,91.728045325779,75053,41229,54.9331805524096,1988,1397,70.271629778672,51624,27729,53.7133891213389,316.753601551056,324.019709825516,43038.4099301403,47808.1162567343,-2.59084909296914,-203.401368645707,7.26610827445984,2.29393075213027,-222,-21.456415547107,-23429,-7.74456295526731,4769.70632659399,11.0824408576807,PG,174315.840389912,59.9516405985353
4586,7672.4867032204,55.8482567652091,0,0,0.415436978013282,97.2503854599822,1.23464000373779,7635.16282718848,96.9320318568572,0,0,0.442338891499084,2914109,291410905000010,29,1507,1435,95.222295952223,31594,26934,85.2503639931633,1066,899,84.3339587242026,24823,18336,73.8669782056963,15.8892522079404,15.0251896556001,5822.32078120177,6739.81209954313,0.475400644769479,37.32387603192,-0.864062552340329,-5.43803157651764,-536,-10.8883372280203,-6771,-7.94814307761883,917.491318341355,15.7581719183802,GP,108176.210670026,97.7257861047517
4587,6890.06087937672,957.582097113807,0,0,0.726279773742319,94.93212458235,4.94871375499428,7451.93652666807,388.461766268347,0,0,0.598565089995417,2611101,261110130000022,26,5372,4083,76.0052122114669,147649,90204,61.0935394076492,7018,4509,64.2490738102023,159953,82731,51.72206835758,231.290395736694,312.478588163853,193370.759091434,267575.200790058,-7.15787752050274,-561.875647291346,81.1881924271584,35.1022757207717,426,-11.7561384012645,12304,-1.59513112479009,74204.4416986239,38.3741792436865,PG,468488.131405712,87.7742470618473
4588,3519.08211019395,3942.02490198565,4.66238317757009,365.994076765103,0.911633760273912,56.197429906542,38.8446261682243,4411.46205532079,3049.27813743835,4.39252336448598,344.810255233472,0.917702316253759,2700706,270070605000020,27,720,602,83.6111111111111,23511,8748,37.2081153502616,735,628,85.4421768707483,21178,8250,38.9555198791198,4697.28143441677,5562.78952795267,11102.5409347742,12988.2687511869,-11.3679906542055,-892.379945126842,865.5080935359,18.4257235939572,26,1.83106575963718,-2333,-1.48846911842164,1885.7278164127,16.9846508784889,PG,33457.1939610057,44.8294392523365
4589,7317.58891392424,500.616804074346,0,0,0.470883241915608,93.7861423614762,5.30146380214722,7362.06576865515,416.156632513167,0,0,0.488245301475239,2310704,231070420000002,23,2652,2339,88.1975867269985,62046,18616,30.0035457563743,2483,1890,76.1175996778091,42857,19785,46.1651538838463,1092.3665407896,1275.68008172512,17464.7793862411,19498.5504152859,-0.566595404151968,-44.4768547309059,183.313540935516,16.781321478687,-449,-12.0799870491894,-19189,0.820514807485766,2033.77102904476,11.6449855109362,PG,142471.529987626,93.2195469573242
4590,6589.72747887422,1220.49991672933,0,0,0.753924712042018,80.4663496921765,18.1785259517997,6316.6304203409,1427.01925044897,0,0,0.867844164337074,2312106,231210615000005,23,1680,1544,91.9047619047619,31927,17234,53.9793904845429,1337,1031,77.1129394166043,15146,8708,57.4937277168889,1555.05438286066,1609.15394508839,4655.97825737627,4733.22117454559,3.47893132089584,273.097058533322,54.099562227726,3.47894985693074,-513,-14.7918224881575,-16781,-9.66940551603756,77.2429171693184,1.6590051091185,GG,88175.0174388578,83.9452810130723
4591,6808.53526317922,1015.7229752569,0.130842650030958,10.2709437729119,0.79604783762736,71.6982675031251,27.5879391114383,5628.20207299039,2165.61015354745,0.112150842883679,8.80366609106737,1.1158726531553,2301604,230160410000002,23,2423,2239,92.4061081304168,50212,30995,61.728272126185,2643,2040,77.1850170261067,62656,37886,60.4666751787538,1932.27216696739,1770.56633877754,10710.5032974242,11596.1153349046,15.0363906120397,1180.33319018883,-161.70582818985,-8.36868795991816,-199,-15.2210911043101,12444,5.99210991452816,885.61203748048,8.2686313881577,GP,115001.228253381,86.7346581151648
4592,6165.59252396597,1679.02419230576,0,0,0.872901268359602,84.3253852354638,15.4748414079933,6619.25644222128,1214.72251085707,0,0,0.75627627582686,2603926,260392605000042,26,2024,1891,93.4288537549407,49575,24841,50.1079172970247,2098,1541,73.4509056244042,43435,21210,48.8315874294923,1325.11488461494,1365.64051830769,1149.84394472408,1385.45706965139,-5.77940815682791,-453.663918255313,40.5256336927414,3.05827322319433,-350,-19.9779481305365,-6140,-3.49190320412839,235.613124927305,20.490878436886,PG,103983.409268251,78.5459770786359
4593,952.354920372244,6750.66949960154,1.77467783580433,139.299674920119,0.538231863207643,19.8789620646548,78.4772119215357,1560.35810978659,6159.90682294887,1.61695465750704,126.919519479556,0.624854936161495,2702355,270235505000007,27,4378,3952,90.2695294655094,22895,9799,42.7997379340467,2932,2654,90.5184174624829,15316,6481,42.3152259075477,7360.56421089172,7856.39216995239,7517.20895101954,8332.38001906442,-7.7459605341559,-608.003189414348,495.827959060669,6.73627652520132,-1298,0.248887996973579,-7579,-11.7116705297753,815.171068044881,10.8440655748211,PG,28330.7150040162,12.1330015304989
